Word	Conc.M	SUBTLEX
a	1.46	1041179
aardvark	4.68	21
aback	1.65	15
abacus	4.5199999999999996	12
abandon	2.54	413
abandoned	2.52	678
abandonee	2.92	0
abandoner	2.5	1
abandonment	2.54	49
abasement	1.67	0
abatement	1.92	3
abbreviate	2.59	1
abbreviated	3.1	16
abbreviation	3.07	12
abdicate	2.08	9
abdomen	4.7	171
abdominal	4.28	174
abdominally	3.15	0
abduct	2.88	36
abductee	3.27	20
abduction	3.07	185
abductor	3.89	18
abhor	1.81	12
abhorrence	2.15	0
abhorrently	2.04	0
abhorring	1.68	0
abide	1.68	138
abiding	2.0699999999999998	25
abidingly	1.82	0
ability	1.81	980
abject	1.67	20
ablaze	3.82	21
able	2.38	8155
ably	1.78	9
abnormal	2.14	148
abnormality	2.48	26
abnormally	1.75	20
aboard	3.97	1358
abode	3.92	33
abolish	2.19	24
abolishable	1.96	0
abolisher	2.29	0
abolishment	2.31	0
abolition	2.4300000000000002	10
abolitionism	1.86	1
abolitionist	3.28	11
abominable	1.89	32
abominableness	1.58	0
abominably	2.14	8
abominate	1.68	3
abomination	2.23	58
aboriginal	3.12	9
abort	2.83	235
aborted	2.83	32
abortion	3.41	369
abortionist	3.19	4
abortive	1.88	1
abortively	1.95	1
abound	2.27	18
abounding	2.04	4
about	1.77	185206
above	3.33	2493
aboveboard	2.8	14
aboveground	4.03	7
abovementioned	2.96	1
abracadabra	2.04	53
abrasion	4.57	18
abrasive	3.03	23
abrasively	2.0699999999999998	0
abrasiveness	2.72	2
abreast	2.23	26
abridge	2.77	1
abridged	1.77	9
abridgment	2.67	0
abroad	2.72	250
abrupt	2.27	58
abruptly	2.36	45
abruptness	2.04	4
abscess	4.4800000000000004	25
abscessed	2.69	3
absence	2.31	322
absent	2.7	131
absentee	3.29	18
absenteeism	2.35	5
absently	1.71	0
absentminded	2	3
absentmindedly	1.76	0
absentmindedness	1.75	1
absentness	1.88	0
absinthe	4.3	28
absolute	1.81	577
absolutely	1.97	5769
absoluteness	1.5	1
absolution	1.78	48
absolutism	1.46	0
absolutist	2.7	0
absolvable	1.8	0
absolve	1.85	29
absorb	3.11	101
absorbability	2.38	0
absorbable	2.4700000000000002	0
absorbed	2.44	78
absorbency	2.97	0
absorbent	3.1	8
absorber	2.96	3
absorbing	3.33	23
absorbingly	2.04	0
absorption	3.22	18
absorptiveness	2.19	0
abstain	2.38	26
abstainer	2.62	0
abstention	2.16	6
abstinence	1.72	45
abstinent	1.77	3
abstinently	2	0
abstract	1.45	111
abstracted	1.48	3
abstractedly	1.54	0
abstractedness	1.59	0
abstraction	1.57	15
abstractionism	1.75	0
abstractionist	2.52	1
abstractive	1.6	0
abstractly	1.36	2
abstractness	1.5	0
absurd	1.64	495
absurdity	1.25	32
